ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType
507489489,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,10,0.0,47,254075923810419,19,33.69032669067383,-568.6950298307879,0.09711536373713026,4,-317959.91358424764,3.4028234663852886E38,,,,,0,,1
507489489,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,13,0.0,47,254075923477917,27,30.68573570251465,171.15645601099925,0.13690855385823814,4,80505.80839230375,3.4028234663852886E38,,,,,0,,1
507489490,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,15,0.0,47,254075927630579,10,39.0208854675293,-67.22072675256936,0.05357419343801628,4,-54964.58310859336,3.4028234663852886E38,,,,,0,,1
507489490,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,16,0.0,47,254075924135903,48,25.685562133789062,125.6000723348717,0.24309803048716494,4,53802.679326779806,3.4028234663852886E38,,,,,0,,1
507489491,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,18,0.0,47,254075930917338,22,32.489662170410156,-200.09648332873496,0.11268866658715482,4,-119436.72756124078,3.4028234663852886E38,,,,,0,,1
507489491,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,20,0.0,47,254075930389662,8,41.290008544921875,425.76230719001273,0.042069026185229175,4,232171.56963592116,3.4028234663852886E38,,,,,0,,1
507489491,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,21,0.0,47,254075930195168,32,29.12447738647461,19.683698629764066,0.16495284888622452,4,7074.967748958065,3.4028234663852886E38,,,,,0,,1
507489492,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,26,0.0,47,254075922898912,75,20.012733459472656,420.4490226303892,4.200521377495649,4,221620.17082646125,3.4028234663852886E38,,,,,0,,1
507489492,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,27,0.0,47,254075921939956,55,24.648805618286133,-590.1206252992874,0.2734278055165553,4,-332260.40257957845,3.4028234663852886E38,,,,,0,,1
507489492,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,29,0.0,47,254075925063887,15,35.96119689941406,656.631244070204,0.07515610190259897,4,361282.0004399051,3.4028234663852886E38,,,,,0,,1
507489493,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,93,0.0,51,1375946,81,18.680274963378906,55.020553574435894,4.2002476527667,4,9869.579192217134,3.4028234663852886E38,,,,,0,,3
507489493,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,94,0.0,227,5658920183241,68,21.36832046508789,529.950672657418,4.203630602845781,4,280065.10961501976,3.4028234663852886E38,,,,,0,,3
507489494,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,96,0.0,227,5658929178217,33,37.37644958496094,658.6202962328753,0.06473299023756932,4,354736.9992395709,3.4028234663852886E38,,,,,0,,3
507489494,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,97,0.0,227,5658936142769,33,37.40339660644531,44.52656095075551,0.06579035767871955,4,10518.070219468746,3.4028234663852886E38,,,,,0,,3
507489494,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,103,0.0,227,5658928841357,56,30.47295570373535,-594.039153490628,0.14125309351816473,4,-329457.9637928349,3.4028234663852886E38,,,,,0,,3
507489495,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,104,0.0,227,5658928119046,49,31.563945770263672,620.4755517171111,0.12463785435873348,4,334211.92416216945,3.4028234663852886E38,,,,,0,,3
507489495,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,105,0.0,227,5658936143903,33,39.09348678588867,-57.1239694199694,0.05467100616362608,4,-51829.93107948952,3.4028234663852886E38,,,,,0,,3
507489495,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,106,0.0,227,5658927796592,33,37.02587890625,-711.4010700532299,0.06708259534912786,4,-398120.24862858176,3.4028234663852886E38,,,,,0,,3
507489496,570430000000,,,-1157840705570309508,0.0,13.177497335702949,,,0,26,0.0,1074,2518636,9,35.31276321411133,256.2047955443246,0.09010816544500805,4,133403.31582265333,3.4028234663852886E38,,,,,0,,6
507490469,571430000000,,,-1157840705570309415,0.0,12.669325331636752,,,0,10,0.0,47,254076923812261,23,32.088993072509766,-568.9255294842517,0.11663785474396415,4,-318528.7698828349,3.4028234663852886E38,,,,,0,,1
507490470,571430000000,,,-1157840705570309415,0.0,12.669325331636752,,,0,13,0.0,47,254076923477381,21,32.88832092285156,171.22649545915363,0.10638328731675134,4,80677.2246964679,3.4028234663852886E38,,,,,0,,1
507490470,571430000000,,,-1157840705570309415,0.0,12.669325331636752,,,0,15,0.0,47,254076927630786,12,37.79000473022461,-67.04579854446604,0.06152156328288649,4,-55031.68156721351,3.4028234663852886E38,,,,,0,,1
507490471,571430000000,,,-1157840705570309415,0.0,12.669325331636752,,,0,16,0.0,47,254076924135406,59,24.029569625854492,125.79259561115492,0.29400186012825413,4,53928.30420788888,3.4028234663852886E38,,,,,0,,1
507490472,571430000000,,,-1157840705570309415,0.0,12.669325331636752,,,0,18,0.0,47,254076930917998,20,33.40610122680664,-199.94914486918685,0.10160150036059412,4,-119636.81829464262,3.4028234663852886E38,,,,,0,,1
